epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.26746,0.4193,0.85543,0.80954,0.99366,0.97286,0.98464,0.9454,0.31665,0.5651,0.81633,6.25e-05,6.25e-05,6.25e-05
2,9.65124,0.37639,0.83837,0.81986,0.99992,0.96894,0.98499,0.92983,0.33239,0.5653,0.81572,0.000110275,0.000110275,0.000110275
3,13.1185,0.41268,0.74198,0.83318,1,0.98027,0.9854,0.93782,0.32591,0.56864,0.81254,0.00012835,0.00012835,0.00012835
4,15.802,0.40408,0.71783,0.81138,0.9992,0.98137,0.98543,0.93968,0.31524,0.54216,0.80984,0.000116725,0.000116725,0.000116725
5,19.1823,0.41164,0.89027,0.84191,0.99928,0.98137,0.98549,0.94901,0.29687,0.53728,0.8085,7.54e-05,7.54e-05,7.54e-05
